Transaction_ID,Date,Product_Name,Category,Quantity_Sold,Unit_Price,Total_Amount,Day_of_Week,Month,Season,Year,Supplier,Supplier_Location
TXN-10212,08/04/2023,Beetroot,Vegetables,3,84.43,253.29,Saturday,April,Summer,2023,Vrundavan Farms,Katraj / Katraj‑Kondhwa Rd
TXN-10012,13/02/2023,Mustard Greens,Vegetables,4,65.38,261.51,Monday,February,Winter,2023,Vrundavan Farms,"Baner Road (18.5665°N, 73.7850°E)"
TXN-30972,18/01/2025,Kidney Beans,Grains and Pulses,1,214.09,214.09,Saturday,January,Winter,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-10422,06/01/2023,Peaches,Fruits,3,211.92,635.77,Friday,January,Winter,2023,Krishi Organic,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-20688,24/08/2024,Chickpeas,Grains and Pulses,3,66.07,198.21,Saturday,August,Monsoon,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20779,13/01/2024,Capsicum,Vegetables,1,47.93,47.93,Saturday,January,Winter,2024,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-30639,16/02/2025,Lettuce,Vegetables,6,163.68,982.08,Sunday,February,Winter,2025,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-30319,10/11/2025,Chives,Vegetables,3,178.33,534.99,Monday,November,Winter,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10637,21/10/2023,Leek,Vegetables,2,87.91,175.82,Saturday,October,Winter,2023,Nature's Cart,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20278,15/05/2024,Bananas,Fruits,2,30.13,60.26,Wednesday,May,Summer,2024,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-20640,28/10/2024,Black Beans,Grains and Pulses,3,250.31,750.93,Monday,October,Winter,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-10509,12/03/2023,Chives,Vegetables,3,15.18,45.55,Sunday,March,Summer,2023,GreenHarvest,Katraj / Katraj‑Kondhwa Rd
TXN-10597,27/11/2023,Garlic,Vegetables,4,22.89,91.55,Monday,November,Winter,2023,Nature's Cart,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30712,26/02/2025,Quinoa,Grains and Pulses,2,338.57,677.14,Wednesday,February,Winter,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-30634,21/07/2025,Cardamom,Spices and Herbs,3,548.93,1646.79,Monday,July,Monsoon,2025,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30364,22/04/2025,Pistachios,Nuts and Seeds,1,893.4,893.4,Tuesday,April,Summer,2025,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30643,17/08/2025,Kidney Beans,Grains and Pulses,6,366.76,2200.56,Sunday,August,Monsoon,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-10518,04/07/2023,Lettuce,Vegetables,3,69.8,209.39,Tuesday,July,Monsoon,2023,Vrundavan Farms,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30793,15/09/2025,Sage,Spices and Herbs,1,107.17,107.17,Monday,September,Monsoon,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-10573,21/08/2023,Okra,Vegetables,1,24.68,24.68,Monday,August,Monsoon,2023,Ecoville,Katraj / Katraj‑Kondhwa Rd
TXN-30725,05/12/2025,Tomatoes,Vegetables,1,83.44,83.44,Friday,December,Winter,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20097,06/09/2024,Peanuts,Nuts and Seeds,1,471.23,471.23,Friday,September,Monsoon,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-20947,15/01/2024,Dates,Fruits,2,278.4,556.8,Monday,January,Winter,2024,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-20448,02/05/2024,Apples,Fruits,6,276.05,1656.3,Thursday,May,Summer,2024,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-20584,08/10/2024,Pear,Fruits,2,184.42,368.84,Tuesday,October,Winter,2024,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30596,28/05/2025,Cucumber,Vegetables,2,94.49,188.98,Wednesday,May,Summer,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-10964,05/01/2023,Almonds,Nuts and Seeds,3,43.24,129.71,Thursday,January,Winter,2023,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-20018,10/10/2024,Black Beans,Grains and Pulses,2,229.3,458.6,Thursday,October,Winter,2024,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30908,04/01/2025,Peas,Vegetables,2,29.8,59.6,Saturday,January,Winter,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-10358,29/03/2023,Flax Seeds,Nuts and Seeds,3,469.98,1409.95,Wednesday,March,Summer,2023,Shivneri Naturals,"Pimpri (18.6167°N, 73.8000°E)"
TXN-10736,30/12/2023,Garlic,Vegetables,1,58.33,58.33,Saturday,December,Winter,2023,Ecoville,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20784,06/04/2024,Green Beans,Vegetables,2,149.24,298.48,Saturday,April,Summer,2024,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-20608,11/02/2024,Cumin,Spices and Herbs,2,134.55,269.1,Sunday,February,Winter,2024,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10259,13/01/2023,Radish,Vegetables,3,31.92,95.76,Friday,January,Winter,2023,Nature's Cart,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30771,23/12/2025,Mint,Vegetables,4,85.49,341.96,Tuesday,December,Winter,2025,GreenHarvest,"Baner Road (18.5665°N, 73.7850°E)"
TXN-30642,17/05/2025,Guava,Fruits,2,85.08,170.16,Saturday,May,Summer,2025,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-30742,01/10/2025,Raisins,Nuts and Seeds,4,388.49,1553.96,Wednesday,October,Monsoon,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-30383,24/03/2025,Turnip,Vegetables,1,176.42,176.42,Monday,March,Summer,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20029,16/10/2024,Apples,Fruits,2,62.23,124.46,Wednesday,October,Winter,2024,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-30408,21/01/2025,Flax Seeds,Nuts and Seeds,1,680.19,680.19,Tuesday,January,Winter,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-10969,28/02/2023,Figs,Fruits,3,194.33,582.99,Tuesday,February,Winter,2023,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-30990,07/12/2025,Brinjal,Vegetables,1,170.58,170.58,Sunday,December,Winter,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-10819,06/11/2023,Kale,Vegetables,3,50.64,151.92,Monday,November,Winter,2023,Ecoville,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30716,01/03/2025,Bitter Gourd,Vegetables,1,166.49,166.49,Saturday,March,Summer,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-30325,23/05/2025,Papaya,Fruits,1,193.98,193.98,Friday,May,Summer,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-10456,04/04/2023,Rosemary,Spices and Herbs,4,48.85,195.4,Tuesday,April,Summer,2023,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-10462,10/03/2023,Spinach,Vegetables,2,33.6,67.19,Friday,March,Summer,2023,Nature's Cart,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30344,16/09/2025,Flax Seeds,Nuts and Seeds,1,590.9,590.9,Tuesday,September,Monsoon,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30688,29/01/2025,Pomegranate,Fruits,4,294.58,1178.32,Wednesday,January,Winter,2025,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-10381,05/09/2023,Radish,Vegetables,3,62.79,188.38,Tuesday,September,Monsoon,2023,GreenHarvest,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20891,07/03/2024,Fenugreek,Spices and Herbs,2,410.88,821.76,Thursday,March,Summer,2024,FreshLeaf Agro,"Pimpri (18.6167°N, 73.8000°E)"
TXN-20832,27/01/2024,Cashews,Nuts and Seeds,1,678.73,678.73,Saturday,January,Winter,2024,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-30308,28/01/2025,Bananas,Fruits,3,158.18,474.54,Tuesday,January,Winter,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20506,03/08/2024,Sunflower Seeds,Nuts and Seeds,1,629.99,629.99,Saturday,August,Monsoon,2024,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-10805,19/06/2023,Potatoes,Vegetables,8,21.88,175.06,Monday,June,Summer,2023,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30438,05/02/2025,Kiwi,Fruits,4,243.56,974.24,Wednesday,February,Winter,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10756,15/10/2023,Okra,Vegetables,3,13.79,41.38,Sunday,October,Winter,2023,Nature's Cart,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30515,11/06/2025,Pistachios,Nuts and Seeds,3,925.53,2776.59,Wednesday,June,Summer,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-20253,10/12/2024,Mustard Greens,Vegetables,1,94.12,94.12,Tuesday,December,Winter,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-10869,13/12/2023,Green Beans,Vegetables,1,67.66,67.66,Wednesday,December,Winter,2023,GreenHarvest,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30064,10/06/2025,Cardamom,Spices and Herbs,2,809.97,1619.94,Tuesday,June,Summer,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-20410,27/06/2024,Rosemary,Spices and Herbs,1,288.13,288.13,Thursday,June,Monsoon,2024,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-30360,27/07/2025,Yam,Vegetables,2,182.6,365.2,Sunday,July,Monsoon,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-30287,13/10/2025,Pumpkin Seeds,Nuts and Seeds,4,825.92,3303.68,Monday,October,Monsoon,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30858,24/11/2025,Quinoa,Grains and Pulses,3,395.86,1187.58,Monday,November,Winter,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-20173,10/07/2024,Sage,Spices and Herbs,3,206.16,618.48,Wednesday,July,Monsoon,2024,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-10542,15/02/2023,Mustard Seeds,Spices and Herbs,3,355.66,1066.98,Wednesday,February,Winter,2023,FreshLeaf Agro,"Shivapur (18.4497°N, 73.8503°E)"
TXN-30104,07/03/2025,Pistachios,Nuts and Seeds,1,485.4,485.4,Friday,March,Summer,2025,FreshLeaf Agro,"Pimpri (18.6167°N, 73.8000°E)"
TXN-20255,02/07/2024,Mustard Greens,Vegetables,1,81.88,81.88,Tuesday,July,Monsoon,2024,GreenHarvest,"Baner Road (18.5665°N, 73.7850°E)"
TXN-20766,21/03/2024,Turnip,Vegetables,2,178.27,356.54,Thursday,March,Summer,2024,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-20765,25/02/2024,Mustard Greens,Vegetables,1,112.95,112.95,Sunday,February,Winter,2024,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-20289,24/04/2024,Chickpeas,Grains and Pulses,2,300.32,600.64,Wednesday,April,Summer,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-30421,05/08/2025,Apricots,Fruits,2,336.94,673.88,Tuesday,August,Monsoon,2025,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30527,12/10/2025,Lettuce,Vegetables,2,100.26,200.52,Sunday,October,Monsoon,2025,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-20343,09/05/2024,Bananas,Fruits,1,152.88,152.88,Thursday,May,Summer,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-20525,10/10/2024,Chives,Vegetables,2,114.29,228.58,Thursday,October,Winter,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-30894,30/10/2025,Blueberries,Fruits,2,188.91,377.82,Thursday,October,Monsoon,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-30686,12/09/2025,Almonds,Nuts and Seeds,4,814.65,3258.6,Friday,September,Monsoon,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30194,10/09/2025,Brazil Nuts,Nuts and Seeds,7,919.37,6435.59,Wednesday,September,Monsoon,2025,GreenHarvest,"Baner Road (18.5665°N, 73.7850°E)"
TXN-30420,23/04/2025,Cardamom,Spices and Herbs,6,659.69,3958.14,Wednesday,April,Summer,2025,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-20677,05/02/2024,Rosemary,Spices and Herbs,3,277.52,832.56,Monday,February,Winter,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-20286,25/03/2024,Thyme,Spices and Herbs,4,406.89,1627.56,Monday,March,Summer,2024,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-10435,14/11/2023,Almonds,Nuts and Seeds,4,15.08,60.32,Tuesday,November,Winter,2023,Urban Roots,"Pimpri (18.6167°N, 73.8000°E)"
TXN-20727,25/07/2024,Raisins,Nuts and Seeds,1,427.17,427.17,Thursday,July,Monsoon,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-10237,23/10/2023,Drumsticks,Vegetables,4,88.59,354.38,Monday,October,Winter,2023,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-30347,11/01/2025,Chestnuts,Nuts and Seeds,2,437.75,875.5,Saturday,January,Winter,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-10109,27/07/2023,Poppy Seeds,Nuts and Seeds,4,49.38,197.53,Thursday,July,Monsoon,2023,FreshLeaf Agro,"Shivapur (18.4497°N, 73.8503°E)"
TXN-30274,01/01/2025,Kidney Beans,Grains and Pulses,7,432.71,3028.97,Wednesday,January,Winter,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10163,15/12/2023,Bay Leaves,Spices and Herbs,2,85.0,170.0,Friday,December,Winter,2023,FreshLeaf Agro,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-10288,11/02/2023,Grapes,Fruits,1,138.38,138.38,Saturday,February,Winter,2023,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10252,21/12/2023,Figs,Fruits,4,245.06,980.25,Thursday,December,Winter,2023,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-30583,10/05/2025,Pistachios,Nuts and Seeds,2,575.42,1150.84,Saturday,May,Summer,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-20964,25/12/2024,Bitter Gourd,Vegetables,2,122.75,245.5,Wednesday,December,Winter,2024,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-20288,31/03/2024,Guava,Fruits,3,164.83,494.49,Sunday,March,Summer,2024,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-10744,16/12/2023,Plums,Fruits,3,58.35,175.05,Saturday,December,Winter,2023,Krishi Organic,"Baner (18.5615°N, 73.7810°E)"
TXN-20206,23/10/2024,Carrots,Vegetables,3,68.14,204.42,Wednesday,October,Winter,2024,GreenHarvest,"Baner Road (18.5665°N, 73.7850°E)"
TXN-30419,16/03/2025,Mint,Vegetables,1,171.44,171.44,Sunday,March,Summer,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-20391,27/01/2024,Capsicum,Vegetables,2,143.37,286.74,Saturday,January,Winter,2024,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-30333,21/05/2025,Green Beans,Vegetables,1,186.24,186.24,Wednesday,May,Summer,2025,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-10990,03/07/2023,Walnuts,Nuts and Seeds,4,323.53,1294.11,Monday,July,Monsoon,2023,Shivneri Naturals,"Pimpri (18.6167°N, 73.8000°E)"
TXN-10839,23/04/2023,Blueberries,Fruits,2,126.03,252.06,Sunday,April,Summer,2023,Sahyadri Farms,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-20149,05/07/2024,Thyme,Spices and Herbs,2,239.94,479.88,Friday,July,Monsoon,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20221,17/07/2024,Cauliflower,Vegetables,1,72.2,72.2,Wednesday,July,Monsoon,2024,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-20743,09/02/2024,Radish,Vegetables,3,70.34,211.02,Friday,February,Winter,2024,FreshLeaf Agro,"Pimpri (18.6167°N, 73.8000°E)"
TXN-30400,07/12/2025,Spinach,Vegetables,1,160.7,160.7,Sunday,December,Winter,2025,FreshLeaf Agro,"Pimpri (18.6167°N, 73.8000°E)"
TXN-10461,25/10/2023,Sunflower Seeds,Nuts and Seeds,2,271.7,543.41,Wednesday,October,Winter,2023,Shivneri Naturals,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20309,29/12/2024,Kidney Beans,Grains and Pulses,1,156.35,156.35,Sunday,December,Winter,2024,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-20435,14/12/2024,Beetroot,Vegetables,2,104.92,209.84,Saturday,December,Winter,2024,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10157,07/09/2023,Celery,Vegetables,4,54.01,216.04,Thursday,September,Monsoon,2023,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20911,02/11/2024,Mint,Vegetables,4,163.84,655.36,Saturday,November,Winter,2024,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30359,23/08/2025,Coriander Seeds,Spices and Herbs,8,353.69,2829.52,Saturday,August,Monsoon,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10677,02/06/2023,Spinach,Vegetables,3,109.09,327.27,Friday,June,Summer,2023,GreenHarvest,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30848,15/07/2025,Turnip,Vegetables,1,92.06,92.06,Tuesday,July,Monsoon,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-20872,26/05/2024,Cumin,Spices and Herbs,1,179.56,179.56,Sunday,May,Summer,2024,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-10238,21/11/2023,Fennel,Vegetables,2,66.72,133.44,Tuesday,November,Winter,2023,GreenHarvest,Katraj / Katraj‑Kondhwa Rd
TXN-30917,21/10/2025,Pear,Fruits,3,235.04,705.12,Tuesday,October,Monsoon,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20091,04/02/2024,Mangoes,Fruits,4,187.65,750.6,Sunday,February,Winter,2024,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-30870,13/11/2025,Raisins,Nuts and Seeds,4,455.89,1823.56,Thursday,November,Winter,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10100,02/02/2023,Celery,Vegetables,4,48.6,194.42,Thursday,February,Winter,2023,Nature's Cart,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-10315,22/08/2023,Zucchini,Vegetables,1,45.96,45.96,Tuesday,August,Monsoon,2023,Nature's Cart,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20023,05/10/2024,Brazil Nuts,Nuts and Seeds,1,950.53,950.53,Saturday,October,Winter,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-30746,22/08/2025,Fennel,Vegetables,7,74.84,523.88,Friday,August,Monsoon,2025,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-10767,25/01/2023,Pumpkin Seeds,Nuts and Seeds,1,234.11,234.11,Wednesday,January,Winter,2023,FreshLeaf Agro,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-20344,26/03/2024,Lemons,Fruits,1,150.42,150.42,Tuesday,March,Summer,2024,FreshLeaf Agro,"Pimpri (18.6167°N, 73.8000°E)"
TXN-10261,19/02/2023,Bitter Gourd,Vegetables,4,17.64,70.56,Sunday,February,Winter,2023,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20451,01/02/2024,Mint,Vegetables,2,93.56,187.12,Thursday,February,Winter,2024,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-30834,02/04/2025,Sweet Potato,Vegetables,3,43.82,131.46,Wednesday,April,Summer,2025,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-10195,18/11/2023,Brinjal,Vegetables,4,49.43,197.73,Saturday,November,Winter,2023,Vrundavan Farms,"Baner Road (18.5665°N, 73.7850°E)"
TXN-20775,15/09/2024,Asparagus,Vegetables,1,116.89,116.89,Sunday,September,Monsoon,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-30841,28/11/2025,Brinjal,Vegetables,4,44.54,178.16,Friday,November,Winter,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-20735,27/03/2024,Mustard Greens,Vegetables,2,36.64,73.28,Wednesday,March,Summer,2024,GreenHarvest,"Baner Road (18.5665°N, 73.7850°E)"
TXN-10179,15/05/2023,Cinnamon,Spices and Herbs,4,51.63,206.52,Monday,May,Summer,2023,FreshLeaf Agro,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-30922,03/01/2025,Dates,Fruits,1,231.62,231.62,Friday,January,Winter,2025,Nature's Cart,Katraj / Katraj‑Kondhwa Rd
TXN-10340,11/10/2023,Bitter Gourd,Vegetables,3,34.84,104.52,Wednesday,October,Winter,2023,GreenHarvest,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-20099,20/09/2024,Bitter Gourd,Vegetables,1,39.24,39.24,Friday,September,Monsoon,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20543,13/12/2024,Green Beans,Vegetables,1,101.64,101.64,Friday,December,Winter,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-10748,18/07/2023,Fennel,Vegetables,3,41.06,123.17,Tuesday,July,Monsoon,2023,Ecoville,Katraj / Katraj‑Kondhwa Rd
TXN-30755,22/06/2025,Poppy Seeds,Nuts and Seeds,1,196.49,196.49,Sunday,June,Summer,2025,GreenHarvest,"Baner Road (18.5665°N, 73.7850°E)"
TXN-10662,10/10/2023,Jackfruit,Fruits,4,29.62,118.5,Tuesday,October,Winter,2023,ANNAPURNA,"Baner (18.5615°N, 73.7810°E)"
TXN-10480,30/08/2023,Pomegranate,Fruits,4,81.11,324.46,Wednesday,August,Monsoon,2023,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
