supplier_id,supplier_name,commodity,distance_km,fuel_cost_per_km,co2_per_km,spoilage_rate_per_km,location
P1075,Annapurna Agro,Fenugreek,13,12,0.27,0.0075,Unknown
P1076,Nature's Cart,Tomato,28,12,0.27,0.017142857142857144,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
P1077,Urban Roots,Tomato,39,12,0.27,0.017142857142857144,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
P1078,Urban Roots,Onion,39,14,0.31,0.004,"Nashik (via Sinnar) (19.9975°N, 73.7898°E)"
P1079,Sahyadri Farms,Onion,40,14,0.31,0.004,"Nashik (via Sinnar) (19.9975°N, 73.7898°E)"
P1080,Urban Roots,Coriander,22,10,0.22,0.016666666666666666,Unknown
P1081,Vruksha Farms,Cabbage,43,9,0.18,0.036000000000000004,"Pimpri (18.6167°N, 73.8000°E)"
P1082,Urban Roots,Cauliflower,36,9,0.18,0.02857142857142857,"Shivapur (18.4497°N, 73.8503°E)"
P1083,Annapurna Agro,Tomato,28,12,0.27,0.017142857142857144,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
P1084,Sahyadri Farms,Tomato,27,12,0.27,0.017142857142857144,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
P1085,Annapurna Agro,Spinach,36,5,0.0,0.16666666666666666,Pune Rural (Local) (Local farms)
P1086,Annapurna Agro,Onion,41,14,0.31,0.004,"Nashik (via Sinnar) (19.9975°N, 73.7898°E)"
P1087,EcoVeg Pune,Cauliflower,16,9,0.18,0.02857142857142857,"Shivapur (18.4497°N, 73.8503°E)"
P1088,Sahyadri Farms,Carrot,17,8,0.15,0.0075,"Wagholi (18.5821°N, 73.9775°E)"
P1089,Annapurna Agro,Coriander,27,2,0.05,0.04,Unknown
P1090,EcoVeg Pune,Cabbage,29,9,0.18,0.036000000000000004,"Pimpri (18.6167°N, 73.8000°E)"
P1091,EcoVeg Pune,Brinjal,39,9,0.18,0.02666666666666667,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
P1092,Sahyadri Farms,Cabbage,45,9,0.18,0.036000000000000004,"Pimpri (18.6167°N, 73.8000°E)"
P1093,Green Basket,Fenugreek,34,10,0.22,0.016666666666666666,Unknown
P1094,Nature's Cart,Tomato,21,12,0.27,0.017142857142857144,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
P1095,Vruksha Farms,Coriander,24,12,0.27,0.0075,Unknown
P1096,Nature's Cart,Fenugreek,29,12,0.27,0.0075,Unknown
P1097,Urban Roots,Cauliflower,26,9,0.18,0.02857142857142857,"Shivapur (18.4497°N, 73.8503°E)"
P1098,Vruksha Farms,Brinjal,17,9,0.18,0.02666666666666667,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
P1099,Urban Roots,Onion,23,14,0.31,0.004,"Nashik (via Sinnar) (19.9975°N, 73.7898°E)"
P1100,Annapurna Agro,Coriander,40,12,0.27,0.0075,Unknown
